domain,subject,body,label
amazon.in,Your order has been shipped,Track your package using this link.,1
paypal.com,Verify your account,Click the link to secure your PayPal account.,0
flipkart.com,Sale is live,Get amazing discounts on Flipkart today.,1
bankfraud.net,Account Suspended!,Your account will be blocked. Act now.,0
gov.in,Aadhaar update required,Please confirm your Aadhaar number online.,1
phishy.co,You've won a prize!,"You've won ₹1,00,000! Click to claim.",0
myntra.com,Flat 60% off,Exclusive fashion sale. Shop now.,1
unknown.ru,Lottery winner!,Your email was chosen in our lucky draw.,0
hdfcbank.com,Transaction alert,"₹10,000 debited from your account.",1
fakelottery.net,Claim your ₹10 lakh,You are the lucky winner! Click now.,0
income.in,Tax filing reminder,File your taxes before due date.,1
winnersalert.biz,Congratulations winner,Winner! Collect your prize now.,0
sbi.co.in,Loan approved,Get up to ₹5 lakh personal loan instantly.,1
winbigtoday.org,You're selected!,Job offer for remote work.,0
axisbank.com,Update KYC,Your KYC will expire soon.,1
fakejoboffers.xyz,Apply for work-from-home jobs,Apply for easy work-from-home roles.,0
cleartrip.com,Your booking is confirmed,Trip to Goa confirmed. Details inside.,1
scammermail.cc,Alert: Suspicious login,Login from new device detected.,0
irctc.co.in,Train ticket confirmation,Train number 12345 confirmed.,1
dangerous.cn,Click now to claim,Don't miss your ₹10 lakh opportunity.,0
reliance.com,Jio Fiber Offer,Fiber broadband at ₹399/month.,1
spammylink.biz,Suspicious offer,"Special sale, click here.",0
trustedgov.in,Voting Information,Election details for your constituency.,1
maliciouslink.ru,Gift card inside,You've received a free Amazon gift card.,0
indianrail.gov.in,Railway refund alert,Refund ₹450 processed to your account.,1
flipkart.com,Mobile Sale,Big Billion Day - Up to 80% off!,1
earnmoneyquick.co,Earn ₹5000/day,"Earn daily from home, no skills needed.",0
licindia.in,Policy Maturity Notice,Your LIC policy has matured.,1
fraudalertmail.com,Bank warning notice,Immediate action required for your account.,0
bhimupi.gov.in,UPI Transaction Failed,₹2500 could not be transferred. Verify.,1
